# English|Malayalam|German|French|Italian|Spanish|Filipino
Ladder|കോണി|Leiter|Échelle|Scala|Escalera|Hagdan
Lamech|ലാമെക്ക്|Lamech|Lémec|Lamec|Lamec|Lamec
Leah|ലേയാ|Lea|Léa|Lea|Lea|Lea
Levi|ലേവി|Levi|Lévi|Levi|Leví|Levi
Lion|സിംഹം|Löwe|Lion|Leone|León|Leon
Lydia|ലുദിയ|Lydia|Lydie|Lidia|Lidia|Lidia
Malta|മെലിത്ത|Malta|Malte|Malta|Malta|Malta
Marah|മാറാ|Mara|Mara|Mara|Mara|Mara
Mary|മറിയം|Maria|Marie|Maria|María|Maria
Matthias|മത്ഥിയാസ്|Matthias|Matthias|Mattia|Matías|Matias
Methuselah|മെഥൂശലഹ്|Metuschelach|Metuschélah|Metusela|Matusalén|Matusalem
Michael|മീഖായേൽ|Michael|Michel|Michele|Miguel|Miguel
Miriam|മിര്യാം|Mirjam|Miriam|Miriam|Miriam|Miriam
Mordecai|മൊർദ്ദെഖായി|Mordechai|Mardochée|Mardocheo|Mardoqueo|Mardoqueo
Naomi|നൊവൊമി|Noomi|Naomi|Naomi|Noemí|Noemi
Nathan|നാഥാൻ|Nathan|Nathan|Natan|Natán|Natan
Nehemiah|നെഹെമ്യാവു|Nehemia|Néhémie|Neemia|Nehemías|Nehemias
Nile|നൈൽ|Nil|Nil|Nilo|Nilo|Nilo
Olive leaf|ഒലിവില|Olivenblatt|Feuille d’olivier|Foglia d’ulivo|Hoja de olivo|Dahon ng olibo
Olives|ഒലിവുപഴങ്ങൾ|Oliven|Olives|Olive|Aceitunas|Mga olibo
Palm branch|ഈന്തപ്പനക്കൊമ്പ്|Palmzweig|Branche de palmier|Ramo di palma|Rama de palmera|Sanga ng palma
Passover|പെസഹ|Passah|Pâque|Pasqua ebraica|Pascua|Paskuwa
Patmos|പത്മൊസ്|Patmos|Patmos|Patmos|Patmos|Patmos
Pentecost|പെന്തെക്കൊസ്ത്|Pfingsten|Pentecôte|Pentecoste|Pentecostés|Pentecostes
Pharaoh|ഫറവോൻ|Pharao|Pharaon|Faraone|Faraón|Faraon
Pharaoh's daughter|ഫറവോന്റെ മകൾ|Pharaos Tochter|La fille du pharaon|La figlia del faraone|La hija del faraón|Anak na babae ni Faraon
Phoebe|ഫേബ|Phöbe|Phœbé|Febe|Febe|Febe
Pilate|പീലാത്തോസ്|Pilatus|Pilate|Pilato|Pilato|Pilato
Priscilla|പ്രിസ്കില്ല|Priszilla|Priscille|Priscilla|Priscila|Priscila
Purim|പൂരീം|Purim|Pourim|Purim|Purim|Purim
Rachel|റാഹേൽ|Rahel|Rachel|Rachele|Raquel|Raquel
Rahab|രാഹാബ്|Rahab|Rahab|Raab|Rahab|Rahab
Raphael|റഫായേൽ|Rafael|Raphaël|Raffaele|Rafael|Rafael
Raven|കാക്ക|Rabe|Corbeau|Corvo|Cuervo|Uwak
Ravens|കാക്കകൾ|Raben|Corbeaux|Corvi|Cuervos|Mga uwak
Rebekah|റിബെക്കാ|Rebekka|Rebecca|Rebecca|Rebeca|Rebeca
Ruth|രൂത്ത്|Rut|Ruth|Rut|Rut|Ruth
Samson|ശിംശോൻ|Simson|Samson|Sansone|Sansón|Samson
Sarah|സാറാ|Sara|Sara|Sara|Sara|Sara
Saul|ശൗൽ|Saul|Saül|Saul|Saúl|Saulo
Seth|ശേത്ത്|Set|Seth|Set|Set|Set
Silas|ശീലാസ്|Silas|Silas|Sila|Silas|Silas
Siloam|ശിലോഹാം|Siloah|Siloé|Siloe|Siloé|Siloe
Simeon|ശിമ്യോൻ|Simeon|Siméon|Simeone|Simeón|Simeon
Simon of Cyrene|കുറേനക്കാരനായ ശിമോൻ|Simon von Kyrene|Simon de Cyrène|Simone di Cirene|Simón de Cirene|Simon ng Cirene
Sinai|സീനായി|Sinai|Sinaï|Sinai|Sinaí|Sinai
Sparrow|കുരുവി|Sperling|Moineau|Passero|Gorrión|Maya
Sparrows|കുരുവികൾ|Sperlinge|Moineaux|Passeri|Gorriones|Mga maya
Sychar|സുഖാർ|Sychar|Sychar|Sicar|Sicar|Sicar
Tabernacles|കൂടാരപ്പെരുന്നാൾ|Laubhüttenfest|Fête des Tabernacles|Festa delle Capanne|Fiesta de los Tabernáculos|Kapistahan ng mga Tabernakulo
Terah|തേരഹ്|Terach|Térach|Tera|Taré|Tera
Tigris|ഹിദ്ദേക്കെൽ|Tigris|Tigre|Tigri|Tigris|Tigris
Timaeus|തിമായി|Timäus|Timée|Timeo|Timeo|Timeo
Timothy|തിമൊഥെയൊസ്|Timotheus|Timothée|Timoteo|Timoteo|Timoteo
Titus|തീത്തൊസ്|Titus|Tite|Tito|Tito|Tito
Tower|ഗോപുരം|Turm|Tour|Torre|Torre|Tore
Uriel|ഊറിയേൽ|Uriel|Uriel|Uriele|Uriel|Uriel
Water|വെള്ളം|Wasser|Eau|Acqua|Agua|Tubig
Zarephath|സാരെഫാത്ത്|Zarpat|Sarepta|Sarepta|Sarepta|Sarepta
Zebedee|സെബെദി|Zebedäus|Zébédée|Zebedeo|Zebedeo|Zebedeo
Zechariah|സെഖർയ്യാവ്|Zacharias|Zacharie|Zaccaria|Zacarías|Zacarias
Zion|സീയോൻ|Zion|Sion|Sion|Sion|Sion
Zipporah|സിപ്പോറാ|Zippora|Séphora|Sefora|Séfora|Zipora
